"Name","M365_spf","M365_DKIM_Configured","DNS_spf","M365_mx","DNS_mx","DNS_DKIM_SMX_1","DNS_DKIM_SMX_2","DNS_DKIM_M365_1","DNS_DKIM_M365_2"
"tasteofplenty.co.nz","v=spf1 include:spf.protection.outlook.com -all","False","v=spf1 include:spf.protection.outlook.com -all","tasteofplenty-co-nz.mail.protection.outlook.com","tasteofplenty-co-nz.mail.protection.outlook.com",",  ",",  ",",  ",",  "
"cruisetourstauranga.co.nz","v=spf1 include:spf.protection.outlook.com -all","False","v=spf1 include:spf.protection.outlook.com -all","cruisetourstauranga-co-nz.mail.protection.outlook.com","cruisetourstauranga-co-nz.mail.protection.outlook.com",",  ",",  ",",  ",",  "
"baylimos.co.nz","v=spf1 include:spf.protection.outlook.com -all","False","","baylimos-co-nz.mail.protection.outlook.com","baylimos-co-nz.mail.protection.outlook.com",",  ",",  ",",  ",",  "
"shoretrips.co.nz","v=spf1 include:spf.protection.outlook.com -all","True","v=spf1 include:spf.protection.outlook.com include:spf.nz.smxemail.com -all","shoretrips-co-nz.mail.protection.outlook.com","shoretrips-co-nz.mail.protection.outlook.com",",  ",",  ","selector1._domainkey.shoretrips.co.nz,  selector1-shoretrips-co-nz._domainkey.shoretripsandtours.onmicrosoft.com","selector2._domainkey.shoretrips.co.nz,  selector2-shoretrips-co-nz._domainkey.shoretripsandtours.onmicrosoft.com"
"mctours.co.nz","v=spf1 include:spf.protection.outlook.com -all","False","v=spf1 ip4:77.79.239.194 +a +mx +include:spf.protection.outlook.com -all","mctours-co-nz.mail.protection.outlook.com","mctours-co-nz.mail.protection.outlook.com",",  ",",  ",",  ",",  "
"hinterlandtours.co.nz","v=spf1 include:spf.protection.outlook.com -all","False","v=spf1 include:spf.protection.outlook.com -all","hinterlandtours-co-nz.mail.protection.outlook.com","hinterlandtours-co-nz.mail.protection.outlook.com",",  ",",  ",",  ",",  "
"daytrippers.co.nz","v=spf1 include:spf.protection.outlook.com -all",,"v=spf1 include:spf.protection.outlook.com -all","daytrippers-co-nz.mail.protection.outlook.com","daytrippers-co-nz.mail.protection.outlook.com",",  ",",  ",",  ",",  "
